Release date,Title,Author,Price,Total sales (current month),Publisher
2022/08/01,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](20),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/08/01,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](21),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/08/08,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](22),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/08/08,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](23),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/08/08,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](24),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/08/08,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](25),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/07/18,Bring A Wolf Home [VertiComix](86),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/07/18,Bring A Wolf Home [VertiComix](87),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/07/18,Bring A Wolf Home [VertiComix](88),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/07/18,Bring A Wolf Home [VertiComix](89),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/07/18,Bring A Wolf Home [VertiComix](90),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/07/25,Bring A Wolf Home [VertiComix](91),[author]Toumanwenhua,0.3,1,[publisher]KUAIKAN
2022/07/25,Bring A Wolf Home [VertiComix](91),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/07/25,Bring A Wolf Home [VertiComix](92),[author]Toumanwenhua,0.3,1,[publisher]KUAIKAN
2022/07/25,Bring A Wolf Home [VertiComix](92),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/07/03,Lost and Found [VertiComix](71),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/03,Lost and Found [VertiComix](72),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/03,Lost and Found [VertiComix](73),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/03,Lost and Found [VertiComix](74),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/10,Lost and Found [VertiComix](75),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/10,Lost and Found [VertiComix](76),[author]TingFeng,0.6,1,[publisher]KUAIKAN
2022/07/10,Lost and Found [VertiComix](77),[author]TingFeng,0.6,1,[publisher]KUAIKAN
